2025-09-15T12:50:46.325+0800	INFO	livekit	server/main.go:212	starting in development mode
2025-09-15T12:50:46.336+0800	INFO	livekit	hwstats/memory_linux.go:67	failed reading cgroup specific memory stats, falling back to system wide implementation
2025-09-15T12:50:46.338+0800	INFO	livekit	redis/redis.go:142	connecting to redis	{"simple": true, "addr": "127.0.0.1:6379"}
2025-09-15T12:50:46.414+0800	INFO	livekit	service/server.go:264	starting LiveKit server	{"portHttp": 7880, "nodeID": "ND_dLDgcjGsaU9C", "nodeIP": "10.1.12.4", "version": "1.9.1", "bindAddresses": ["0.0.0.0"], "rtc.portTCP": 7881, "rtc.portICERange": [50000, 60000]}
2025-09-15T12:51:02.158+0800	INFO	livekit	service/roomallocator.go:166	selected node for room	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "selectedNodeID": "ND_dLDgcjGsaU9C"}
2025-09-15T12:51:02.189+0800	INFO	livekit.api	service/twirp.go:128	API RoomService.CreateRoom	{"service": "RoomService", "method": "CreateRoom", "room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "request": {"name": "41b58d99-55f7-41fe-a177-636cb97dc68f", "emptyTimeout": 10, "departureTimeout": 10, "metadata": "__size: 180"}, "duration": "37.539904ms", "status": "200"}
2025-09-15T12:51:03.742+0800	INFO	livekit	service/roommanager.go:408	starting RTC session	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "nodeID": "ND_dLDgcjGsaU9C", "numParticipants": 0, "participantInit": {"Identity": "274877906947", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "Client": {"sdk": "JS", "version": "2.15.6", "protocol": 16, "os": "Windows", "osVersion": "10", "deviceModel": "Other", "browser": "Electron", "browserVersion": "30.5.1"}, "Grants": {"Identity": "274877906947", "Kind": "", "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "CanPublish": "not-set", "CanSubscribe": "not-set", "CanPublishData": "not-set", "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": true, "ID": "", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "41b58d99-55f7-41fe-a177-636cb97dc68f"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}}
2025-09-15T12:51:05.638+0800	INFO	livekit.transport	rtc/transport.go:583	ice reconnected or switched pair	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "transport": "PUBLISHER", "existingPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 54935, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 8865}, "newPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 51444, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 2340}}
2025-09-15T12:51:05.641+0800	INFO	livekit.transport	rtc/transport.go:583	ice reconnected or switched pair	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "transport": "PUBLISHER", "existingPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 51444, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 2340}, "newPair": {"localProtocol": "udp", "localCandidateType": "srflx", "localAdddress": "175.178.112.138", "localPort": 54935, "remoteProtocol": "udp", "remoteCandidateType": "prflx", "remoteAdddress": "219.135.195...", "remotePort": 8865}}
2025-09-15T12:51:05.712+0800	INFO	livekit	rtc/room.go:506	participant active	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "publisherCandidates": ["[local][trickle] udp4 host 10.1.12.4:56548 (resolved: 10.1.12.4:56548)", "[local][trickle] tcp4 host 10.1.12.4:7881 (resolved: 10.1.12.4:7881)", "[local][trickle] udp4 host 172.17.0.1:56932 (resolved: 172.17.0.1:56932)", "[local][trickle] tcp4 host 172.17.0.1:7881 (resolved: 172.17.0.1:7881)", "[local][trickle] tcp4 host 172.18.0.1:7881 (resolved: 172.18.0.1:7881)", "[local][trickle] udp4 host 172.18.0.1:50471 (resolved: 172.18.0.1:50471)", "[local][selected:3][trickle] udp4 srflx 175.178.112.138:54935 related 0.0.0.0:54935 (resolved: 175.178.112.138:54935)", "[local][selected:2][trickle] udp4 srflx 175.178.112.138:51444 related 0.0.0.0:51444 (resolved: 175.178.112.138:51444)", "[remote][trickle] udp4 host 192.168.207.1:59281", "[remote][trickle] udp4 host 192.168.139.1:59282", "[remote][trickle] udp4 host 10.20.160.240:59283", "[remote][trickle] tcp4 host 192.168.207.1:9", "[remote][trickle] tcp4 host 192.168.139.1:9", "[remote][trickle] tcp4 host 10.20.160.240:9", "[remote][trickle] udp4 srflx 183.6.122....:10294  related 10.20.160.240:59283", "[remote][selected:3] udp4 prflx 219.135.195...:8865", "[remote][selected:2] udp4 prflx 219.135.195...:2340"], "subscriberCandidates": ["[local][trickle] udp4 host 10.1.12.4:57655 (resolved: 10.1.12.4:57655)", "[local][trickle] tcp4 host 10.1.12.4:7881 (resolved: 10.1.12.4:7881)", "[local][trickle] udp4 host 172.17.0.1:50531 (resolved: 172.17.0.1:50531)", "[local][trickle] tcp4 host 172.17.0.1:7881 (resolved: 172.17.0.1:7881)", "[local][trickle] udp4 host 172.18.0.1:57156 (resolved: 172.18.0.1:57156)", "[local][trickle] tcp4 host 172.18.0.1:7881 (resolved: 172.18.0.1:7881)", "[local][selected:1][trickle] udp4 srflx 175.178.112.138:56795 related 0.0.0.0:56795 (resolved: 175.178.112.138:56795)", "[local][trickle] udp4 srflx 175.178.112.138:54335 related 0.0.0.0:54335 (resolved: 175.178.112.138:54335)", "[remote][trickle] udp4 host 192.168.207.1:59278", "[remote][trickle] udp4 host 192.168.139.1:59279", "[remote][trickle] udp4 host 10.20.160.240:59280", "[remote][trickle] tcp4 host 192.168.207.1:9", "[remote][trickle] tcp4 host 192.168.139.1:9", "[remote][trickle] tcp4 host 10.20.160.240:9", "[remote][trickle] udp4 srflx 183.6.122....:18777  related 10.20.160.240:59280", "[remote][selected:1] udp4 prflx 219.135.195...:3378"], "connectionType": "udp", "clientInfo": {"sdk": "JS", "version": "2.15.6", "protocol": 16, "os": "Windows", "osVersion": "10", "deviceModel": "Other", "browser": "Electron", "browserVersion": "30.5.1"}}
2025-09-15T12:51:06.393+0800	INFO	livekit.pub	rtc/participant.go:2333	mediaTrack published	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "kind": "audio", "trackID": "TR_AsQrHx6NnW5tQD", "webrtcTrackID": "8c124ba0-8285-429c-8311-3562d272bb42", "rid": "", "SSRC": 3600235851, "mime": "audio/red", "trackInfo": {"sid": "TR_AsQrHx6NnW5tQD", "type": "AUDIO", "source": "SCREEN_SHARE_AUDIO", "mimeType": "audio/red", "mid": "1", "codecs": [{"mimeType": "audio/red", "mid": "1", "cid": "8c124ba0-8285-429c-8311-3562d272bb42", "videoLayerMode": "MODE_UNUSED"}], "encryption": "NONE", "stream": "screen", "version": {"unixMicro": 1757911866390490}, "audioFeatures": ["TF_AUTO_GAIN_CONTROL", "TF_ECHO_CANCELLATION", "TF_NOISE_SUPPRESSION"], "backupCodecPolicy": "PREFER_REGRESSION"}, "fromSdp": true, "isReceiverAdded": true, "sdpRids": ["", "", ""]}
2025-09-15T12:51:06.483+0800	INFO	livekit.pub	rtc/participant.go:2333	mediaTrack published	{"room": "41b58d99-55f7-41fe-a177-636cb97dc68f", "roomID": "RM_e3cBkZJhqvhp", "participant": "274877906947", "pID": "PA_cYLpjJM5hDSj", "remote": false, "kind": "video", "trackID": "TR_VSwmPVbe895Pyb", "webrtcTrackID": "10eee35a-0eb7-416c-88f0-8080bfccdde6", "rid": "q", "SSRC": 2429850847, "mime": "video/VP8", "trackInfo": {"sid": "TR_VSwmPVbe895Pyb", "type": "VIDEO", "width": 1920, "height": 1080, "simulcast": true, "source": "SCREEN_SHARE", "layers": [{"quality": "LOW", "width": 960, "height": 540, "bitrate": 625000, "ssrc": 2429850847, "rid": "q"}, {"quality": "MEDIUM", "width": 1920, "height": 1080, "bitrate": 2500000, "spatialLayer": 1, "rid": "h"}], "mimeType": "video/VP8", "mid": "2", "codecs": [{"mimeType": "video/VP8", "mid": "2", "cid": "10eee35a-0eb7-416c-88f0-8080bfccdde6", "layers": [{"quality": "LOW", "width": 960, "height": 540, "bitrate": 625000, "ssrc": 2429850847, "rid": "q"}, {"quality": "MEDIUM", "width": 1920, "height": 1080, "bitrate": 2500000, "spatialLayer": 1, "rid": "h"}], "videoLayerMode": "ONE_SPATIAL_LAYER_PER_STREAM"}], "encryption": "NONE", "stream": "screen", "version": {"unixMicro": 1757911866480870}, "backupCodecPolicy": "PREFER_REGRESSION"}, "fromSdp": true, "isReceiverAdded": true, "sdpRids": ["q", "h", ""]}
